Report for not matched invoices of My Robo Vault
Generated at: 03 December 10:08:40
Transaction No,Date,Description Name,Spent,Received
1,31 Aug 2021,ACB CREDIT INV37916FRENCH,-,270.00 
2,31 Aug 2021,ACB CREDIT HABIBI FARMING,-,2.251.70 
3,31 Aug 2021,ACB CREDIT THORNLANDS TRANSP...,-,8.450.20 
4,31 Aug 2021,ACB CREDIT Die Gert en Estel...,-,1.008.00 
5,3 Sep 2021,ACB CREDIT TCS JOHN TCS JOHN...,-,30.229.99 
6,6 Sep 2021,ACB CREDIT DROEKLOOF BDY,-,690.00 
7,6 Sep 2021,ACB CREDIT CPS,-,5.118.00 
8,15 Sep 2021,IBANK PAYMENT FROM ABSA BANK...,-,1.205.20 
9,15 Sep 2021,IBANK PAYMENT FROM ABSA BANK...,-,1.977.00 
10,28 Sep 2021,ACB CREDIT AGRISAKE,-,3.323.68 
