Report for not matched invoices of My Robo Vault
Generated at: 03 December 11:42:21

,Bank Statement Lines,,,,Transactions,,,,

Transaction No,Description Name,Ref,Spent,Received, ,Matched Contact,Ref,Spent,Received
1,IBANK PAYMENT FROM ABSA BANK...,,-,415.00 ,,Dr JP Duvenage Praktyk,Ref: INV-40847,-,415.00
2,ACB CREDIT Cape Wild Abalone...,,-,70.00 ,,Cape Wild Abalone (Pty) Ltd,Ref: INV-40822,-,70.00
3,ACB CREDIT GIFLO INV40867,,-,3.516.70 ,,Giflo Properties (Pty) Ltd,Ref: INV-40867,-,3.516.70
4,ACB CREDIT THORNLANDS BOERDE...,,-,1.125.85 ,,Thornlands Boerdery (Edms) Bpk,Ref: INV-40815,-,1.125.85
5,ACB CREDIT DAND PLANTD&D PLA...,,-,564.00 ,,D & D Plant Maintenance BK,Ref: INV-40848,-,564.00
6,ACB CREDIT MJ HAUPTFLEISCH,,-,290.00 ,,MJ Hauptfleisch,Ref: INV-40824,-,290.00
7,ACB CREDIT ACMS 40830,,-,418.00 ,,Aquaculture Consulting & Management Services (PTY) LTD,Ref: INV-40830,-,418.00
8,ACB CREDIT BABYLONS TOWER CC,,-,451.95 ,,Babylon Tower cc t/a Nidderdale Farm,Ref: INV-40808,-,451.95
9,ACB CREDIT CLI_0072 INV-40805,,-,3.450.00 ,,Innovative Ad media (Pty) Ltd,Ref: INV-40805,-,3.450.00
10,ACB CREDIT MOYA MEAKER WINE ...,,-,451.95 ,,Moya Meaker Wine Cellar,Ref: INV-40786,-,451.95
11,ACB CREDIT Waitrose Foundati...,,-,451.95 ,,The Waitrose Foundation NPC,Ref: INV-40804,-,451.95
12,ACB CREDIT THORNLANDS PAKSTO...,,-,1.125.85 ,,Thornlands Pakstoor (Edms) Bpk,Ref: INV-40814,-,1.125.85
13,ACB CREDIT SUNBLINDS,,-,290.00 ,,sunblinds,Ref: INV-40833,-,290.00
14,ACB CREDIT VEA TECH SA 40817,,-,451.95 ,,VEA Technologies SA (Pty) Ltd,Ref: INV-40817,-,451.95
15,ACB CREDIT VEA TECH LLC 40820,,-,930.01 ,,Vea Technologies LLC,Ref: INV-40820,-,930.01
16,ACB CREDIT TACHODATA,,-,290.00 ,,TachoData,Ref: INV-40832,-,290.00
17,ACB CREDIT VEA TECH LTD 40819,,-,600.00 ,,VEA Technologies LTD,Ref: INV-40819,-,600.00
18,IBANK PAYMENT FROM ABSA BANK...,,-,290.00 ,,BRENDAS PRESERVES,Ref: INV-40825,-,290.00
19,ACB CREDIT OPEN HOME,,-,565.00 ,,Open Home,Ref: INV-40835,-,565.00
20,ACB CREDIT MONTEITH TRUST,,-,1.125.85 ,,Monteith Trust,Ref: INV-40858,-,1.125.85
21,IBANK PAYMENT FROM ABSA BANK...,,-,161.00 ,,Salem Boerdery,Ref: INV-40880,-,161.00
22,IBANK PAYMENT FROM ABSA BANK...,,-,451.95 ,,Steam Trap Evaluation and Monitoring Solutions (Pty) Ltd,Ref: INV-40915,-,451.95
23,ACB CREDIT GLUEDATA,,-,600.00 ,,Glue Data Services ( Pty) Ltd,Ref: INV-40931,-,600.00
24,ACB CREDIT 40845TRANSFINDT,,-,290.00 ,,Transfin - DT Trust t/a Bo Uitkyk,Ref: INV-40845,-,290.00
25,ACB CREDIT KAROOVLAKTE INV40...,,-,171.21 ,,Karoovlakte,Ref: INV-40912,-,171.21
26,IMMEDIATE TRF CR FIRSTRAND G...,,-,451.95 ,,Gestrasa (Pty) Ltd,Ref: INV-40892,-,451.95
27,ACB CREDIT CLI_0072 INV-40917,,-,451.95 ,,Innovative Ad media (Pty) Ltd,Ref: INV-40917,-,451.95
28,ACB CREDIT CLI-0079 VIRVEL G...,,-,2.054.54 ,,Virvel Group,Ref: INV-40944,-,2.054.54
29,ACB CREDIT ACMS 40879,,-,207.00 ,,Aquaculture Consulting & Management Services (PTY) LTD,Ref: INV-40879,-,207.00
30,ACB CREDIT KAROOVLAKTE INV40...,,-,3.901.95 ,,Kleine Heidepan Plase,Ref: INV-40806,-,3.901.95
31,ACB CREDIT Caledon Hatchery,,-,451.95 ,,Caledon Hatchery (Pty) Ltd,Ref: INV-40925,-,451.95
32,ACB CREDIT BDKSOFT/SOL/WFG40...,,-,290.00 ,,Wellington Fruit Growers,Ref: INV-40831,-,290.00
33,ACB CREDIT TWK Chicks,,-,451.95 ,,TWK Chicks (Pty) Ltd,Ref: INV-40934,-,451.95
34,ACB CREDIT CLI-0081,,-,451.95 ,,Executive Panelbeaters,Ref: INV-40877,-,451.95
35,ACB CREDIT GEORGIA FARMING,,-,451.95 ,,Georgia Farming,Ref: INV-40902,-,451.95
36,ACB CREDIT INV 40434,,-,451.95 ,,Madron Farming,Ref: INV-40864,-,451.95
37,IBANK PAYMENT FROM ABSA BANK...,,-,3.795.00 ,,Oewerzicht Boerdery,Ref: INV-40886,-,3.795.00
38,IBANK PAYMENT FROM ABSA BANK...,,-,207.00 ,,Oewerzicht Farm Cottages,Ref: INV-40887,-,207.00
39,IBANK PAYMENT FROM ABSA BANK...,,-,1.807.80 ,,Mosh Petroleum,Ref: INV-40919,-,1.807.80
40,ACB CREDIT INDUSTRIAL CARTID...,,-,207.00 ,,Industrial Cartridge (Pty) Ltd,Ref: INV-40762,-,207.00
41,ACB CREDIT MADRON FARMING,,-,903.90 ,,Swellensharon SA (Pty) Ltd,Ref: INV-40938,-,903.90
42,ACB CREDIT DE RUST,,-,673.90 ,,De Rust Estate,Ref: INV-40939,-,673.90
43,ACB CREDIT ITAKANE TRADING 5...,,-,301.30 ,,Madron Properties,Ref: INV-40921,-,301.30
44,ACB CREDIT DANCKWERTS FRUIT ...,,-,301.30 ,,Danckwerts Fruit Farms (Pty) ltd,Ref: INV-40899,-,301.30
45,ACB CREDIT ITAKANE TRADING 5...,,-,451.95 ,,Itakane Trading 57 (Pty) Ltd,Ref: INV-40908,-,451.95
46,ACB CREDIT Southend Farms,,-,451.95 ,,Southend Farms (Pty) Ltd,Ref: INV-40936,-,451.95
47,ACB CREDIT PRINGLE INVESTMEN...,,-,451.95 ,,Pringle Investment Trust (Pty) Ltd,Ref: INV-40922,-,451.95
48,IBANK PAYMENT FROM ABSA BANK...,,-,70.00 ,,Blouvlei Accomodation,Ref: INV-40954,-,70.00
49,IBANK PAYMENT FROM ABSA BANK...,,-,415.00 ,,Dr JP Duvenage Praktyk,Ref: INV-40960,-,415.00
50,ACB CREDIT INVENTUM SOFTWARE,,-,2.531.65 ,,Inventum Software (Pty) Ltd,Ref: INV-40981,-,2.531.65
51,ACB CREDIT INV 40956,,-,290.00 ,,Tag Flora,Ref: INV-40956,-,290.00
52,ACB CREDIT BASSON & SEUN,,-,290.00 ,,Basson en Seun Vervoer,Ref: INV-40957,-,290.00
53,ACB CREDIT TANGENI TANGENI C...,,-,1.212.00 ,,TANGENI CATTLE COMPANY PTY LTD,Ref: INV-40951,-,1.212.00
54,IBANK PAYMENT FROM ABSA BANK...,,-,290.00 ,,BRENDAS PRESERVES,Ref: INV-40977,-,290.00
55,ACB CREDIT BLACE PTY LTD,,-,451.95 ,,Blace,Ref: INV-40891,-,451.95
56,ACB CREDIT Waitrose Foundati...,,-,451.95 ,,The Waitrose Foundation NPC,Ref: INV-40945,-,451.95
57,ACB CREDIT INVESTECPBCLI-008...,,-,451.95 ,,Ark Tree Group (Pty) Ltd,Ref: INV-40878,-,451.95
58,ACB CREDIT CLI-0062,,-,451.95 ,,Nelburg Transport and Aggregates (Pty) Ltd,Ref: INV-40927,-,451.95
59,ACB CREDIT PMT PROJECT ASSIG...,,-,594.00 ,,Project Assignments (SA) (Pty) Ltd,Ref: INV-40962,-,594.00
60,ACB CREDIT INV-40889 / AGRIS...,,-,451.95 ,,Agrisouth Orchards (SA) (Pty) Ltd,Ref: INV-40889,-,451.95
61,ACB CREDIT PAYSOFT P REUVERS...,,-,387.00 ,,P reuvers Plase,Ref: INV-40964,-,387.00
62,IBANK PAYMENT FROM ABSA BANK...,,-,171.21 ,,Hartbeesrivier Landgoed,Ref: INV-40923,-,171.21
63,ACB CREDIT SCHULTZ VPM (PTY)...,,-,1.013.45 ,,Schultz VPM (Pty) Ltd,Ref: INV-40950,-,1.013.45
64,ACB CREDIT PATRYSKOP BOERDER...,,-,290.00 ,,Patryskop Boerdery,Ref: INV-40955,-,290.00
65,ACB CREDIT CAPITEC FJP LOTTE...,,-,451.95 ,,FJP Lotter TA Karwyderskraal,Ref: INV-40907,-,451.95
66,ACB CREDIT INVESTECPBArkTree...,,-,115.00 ,,Ark Tree Group (Pty) Ltd,Ref: INV-40766,-,115.00
67,ACB CREDIT BDKSOFT/SOL/WFG40...,,-,290.00 ,,Wellington Fruit Growers,Ref: INV-40971,-,290.00
68,IBANK PAYMENT FROM ABSA BANK...,,-,451.95 ,,Klipdale Boerdery,Ref: INV-40935,-,451.95
